review_id,product_category,rating,sentiment_label,review_text,date
154,chuột,4,positive,"đóng gói cẩn thận, kết nối ổn định, không bị lag",2025-08-03
155,sạc dự phòng,2,negative,"máy hơi nóng khi sạc, hơi tiếc",2025-11-12
156,áo thun,3,neutral,"đóng gói cẩn thận, không quá xuất sắc nhưng chấp nhận được, sẽ ủng hộ tiếp",2025-08-16
157,áo thun,3,neutral,"đóng gói cẩn thận, không quá xuất sắc nhưng chấp nhận được",2025-11-27
158,tai nghe,5,positive,"săn sale nên thấy âm thanh rõ, bass tốt",2025-12-06
159,bàn phím,1,negative,"shop giao nhanh, led không đều màu, sẽ ủng hộ tiếp",2026-02-07
160,sạc dự phòng,4,positive,"đóng gói cẩn thận, sạc nhanh, pin đúng dung lượng, sẽ ủng hộ tiếp",2026-02-08
161,sạc dự phòng,4,positive,"đóng gói cẩn thận, dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2025-02-26
162,giày thể thao,3,neutral,"shop giao nhanh, mẫu đẹp nhưng chưa thử chạy lâu",2025-06-15
163,chuột,4,positive,"kết nối ổn định, không bị lag",2026-01-17
164,chuột,5,positive,"kết nối ổn định, không bị lag, sẽ ủng hộ tiếp",2025-11-11
165,chuột,2,negative,"double click sau vài ngày, khá khó chịu, hơi tiếc",2026-03-10
166,áo thun,4,positive,săn sale nên thấy màu đẹp như hình,2026-04-06
167,chuột,4,positive,"đóng gói cẩn thận, pin trâu, dùng mượt cả ngày",2025-11-21
168,sạc dự phòng,2,negative,"máy hơi nóng khi sạc, đáng tiền",2025-08-21
169,sạc dự phòng,1,negative,"máy hơi nóng khi sạc, sẽ ủng hộ tiếp",2025-08-09
170,áo thun,3,neutral,"săn sale nên thấy đúng mô tả, chất vải bình thường, hơi tiếc",2026-01-09
171,chuột,5,positive,"shop giao nhanh, cầm vừa tay, phản hồi tốt, hơi tiếc",2025-02-04
172,chuột,3,neutral,"đóng gói cẩn thận, dùng tạm ổn trong tầm giá, sẽ ủng hộ tiếp",2025-10-12
173,chuột,1,negative,"đóng gói cẩn thận, kết nối chập chờn, dùng bực mình, hơi tiếc",2026-03-21
174,giày thể thao,5,positive,"đế bám tốt, chạy thích",2025-09-17
175,bàn phím,5,positive,"đóng gói cẩn thận, gõ êm tay, led đẹp",2025-07-08
176,chuột,3,neutral,"đúng mô tả, hiệu năng bình thường",2025-12-12
177,giày thể thao,1,negative,"đóng gói cẩn thận, keo dán chưa chắc, đáng tiền",2025-06-23
178,tai nghe,4,positive,"shop giao nhanh, âm thanh rõ, bass tốt",2025-02-16
179,giày thể thao,2,negative,"đóng gói cẩn thận, đi hơi cứng chân, sẽ ủng hộ tiếp",2025-07-09
180,tai nghe,1,negative,"shop giao nhanh, âm bị rè khi mở lớn",2025-01-26
181,giày thể thao,5,positive,"đế bám tốt, chạy thích, hơi tiếc",2025-08-01
182,tai nghe,4,positive,"đeo êm tai lâu không đau, đáng tiền",2025-12-14
183,giày thể thao,1,negative,săn sale nên thấy keo dán chưa chắc,2025-01-29
184,chuột,4,positive,"đóng gói cẩn thận, cầm vừa tay, phản hồi tốt, đáng tiền",2025-03-03
185,chuột,5,positive,"săn sale nên thấy pin trâu, dùng mượt cả ngày",2025-12-27
186,bàn phím,1,negative,"led không đều màu, hơi tiếc",2025-01-10
187,áo thun,3,neutral,"săn sale nên thấy không quá xuất sắc nhưng chấp nhận được, hơi tiếc",2025-05-29
188,chuột,5,positive,"đóng gói cẩn thận, kết nối ổn định, không bị lag",2025-08-12
189,nồi chiên,5,positive,"dung tích lớn, rất tiện, hơi tiếc",2026-03-22
190,tai nghe,2,negative,âm bị rè khi mở lớn,2025-11-21
191,chuột,2,negative,"shop giao nhanh, con lăn bị kẹt, trải nghiệm tệ, sẽ ủng hộ tiếp",2025-02-22
192,bàn phím,4,positive,"keycap chắc chắn, build ngon, sẽ ủng hộ tiếp",2026-01-31
193,giày thể thao,5,positive,"đóng gói cẩn thận, nhẹ chân, đúng size, sẽ ủng hộ tiếp",2025-08-14
194,chuột,5,positive,"đóng gói cẩn thận, di chuột mượt, click nhạy, rất đáng tiền",2025-02-07
195,tai nghe,4,positive,"đóng gói cẩn thận, đeo êm tai lâu không đau",2025-11-27
196,nồi chiên,3,neutral,nấu được nhưng không quá nhanh,2026-02-10
197,giày thể thao,3,neutral,"mẫu đẹp nhưng chưa thử chạy lâu, hơi tiếc",2025-09-14
198,bàn phím,3,neutral,đúng mô tả nhưng giao hơi lâu,2025-11-27
199,bàn phím,5,positive,"keycap chắc chắn, build ngon",2025-03-23
200,tai nghe,5,positive,"đóng gói cẩn thận, đeo êm tai lâu không đau",2025-01-27
201,nồi chiên,1,negative,vỏ có vết xước,2025-12-14
202,áo thun,4,positive,"vải mềm, form đẹp, sẽ ủng hộ tiếp",2025-06-29
203,tai nghe,3,neutral,"chưa test lâu nên chưa rõ độ bền, đáng tiền",2025-10-14
204,áo thun,1,negative,"chỉ thừa nhiều, hơi thất vọng",2025-11-27
205,giày thể thao,5,positive,"đóng gói cẩn thận, đế bám tốt, chạy thích, sẽ ủng hộ tiếp",2025-04-20
206,tai nghe,3,neutral,"shop giao nhanh, âm thanh ở mức chấp nhận được, sẽ ủng hộ tiếp",2025-02-09
207,tai nghe,3,neutral,"đóng gói cẩn thận, chưa test lâu nên chưa rõ độ bền",2025-03-09
208,sạc dự phòng,4,positive,"dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2026-01-05
209,áo thun,5,positive,"mặc thoải mái, đường may chắc, đáng tiền",2026-01-21
210,giày thể thao,3,neutral,"săn sale nên thấy mẫu đẹp nhưng chưa thử chạy lâu, sẽ ủng hộ tiếp",2025-07-08
211,giày thể thao,3,neutral,săn sale nên thấy mẫu đẹp nhưng chưa thử chạy lâu,2025-09-28
212,áo thun,3,neutral,"đúng mô tả, chất vải bình thường, hơi tiếc",2026-03-24
213,tai nghe,1,negative,"pin tụt nhanh, sẽ ủng hộ tiếp",2025-05-20
214,áo thun,3,neutral,"shop giao nhanh, mặc tạm ổn, hơi tiếc",2026-03-29
215,tai nghe,3,neutral,"nghe ổn trong tầm giá, đáng tiền",2025-05-01
216,áo thun,3,neutral,"đóng gói cẩn thận, mặc tạm ổn",2026-03-06
217,giày thể thao,1,negative,"đóng gói cẩn thận, keo dán chưa chắc, hơi tiếc",2025-12-23
218,nồi chiên,5,positive,"dung tích lớn, rất tiện",2025-01-10
219,tai nghe,4,positive,"đóng gói cẩn thận, âm thanh rõ, bass tốt, sẽ ủng hộ tiếp",2025-06-04
220,chuột,5,positive,"di chuột mượt, click nhạy, rất đáng tiền, hơi tiếc",2025-11-02
221,sạc dự phòng,4,positive,"săn sale nên thấy thiết kế đẹp, cầm chắc tay",2025-11-11
222,tai nghe,5,positive,"mic thu âm rõ, gọi điện tốt",2025-07-04
223,chuột,3,neutral,"chưa dùng lâu nên chưa đánh giá thêm, hơi tiếc",2025-07-11
224,tai nghe,1,negative,"shop giao nhanh, pin tụt nhanh",2026-01-31
225,sạc dự phòng,1,negative,"đóng gói cẩn thận, sạc vào rất chậm",2025-06-23
226,nồi chiên,2,negative,"shop giao nhanh, nhiệt không đều như mong đợi, sẽ ủng hộ tiếp",2025-02-02
227,giày thể thao,3,neutral,"shop giao nhanh, mẫu đẹp nhưng chưa thử chạy lâu",2026-02-10
228,bàn phím,3,neutral,săn sale nên thấy dùng văn phòng khá ổn,2025-08-31
229,tai nghe,4,positive,"đeo êm tai lâu không đau, đáng tiền",2025-05-20
230,chuột,3,neutral,"săn sale nên thấy đúng mô tả, hiệu năng bình thường, hơi tiếc",2025-06-23
231,bàn phím,5,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2026-01-08
232,áo thun,4,positive,"mặc thoải mái, đường may chắc",2025-06-17
233,giày thể thao,5,positive,"săn sale nên thấy đi êm chân, form đẹp, đáng tiền",2025-08-17
234,chuột,2,negative,"con lăn bị kẹt, trải nghiệm tệ",2025-12-10
235,giày thể thao,4,positive,"đi êm chân, form đẹp, hơi tiếc",2025-01-18
236,bàn phím,5,positive,"switch phản hồi tốt, rất thích",2025-11-06
237,bàn phím,2,negative,led không đều màu,2025-03-12
238,sạc dự phòng,5,positive,"sạc nhanh, pin đúng dung lượng",2026-01-12
239,bàn phím,5,positive,"đóng gói cẩn thận, switch phản hồi tốt, rất thích, hơi tiếc",2025-04-20
240,sạc dự phòng,5,positive,"shop giao nhanh, sạc nhanh, pin đúng dung lượng",2025-08-20
241,bàn phím,3,neutral,"đóng gói cẩn thận, dùng văn phòng khá ổn, đáng tiền",2025-12-30
242,chuột,2,negative,"shop giao nhanh, pin yếu hơn mô tả, đáng tiền",2025-09-18
243,bàn phím,4,positive,"săn sale nên thấy gõ êm tay, led đẹp",2025-07-04
244,sạc dự phòng,1,negative,máy hơi nóng khi sạc,2025-06-08
245,áo thun,3,neutral,"đúng mô tả, chất vải bình thường",2025-03-06
246,tai nghe,2,negative,"đeo hơi đau tai, đáng tiền",2025-03-07
247,nồi chiên,3,neutral,nấu được nhưng không quá nhanh,2026-03-02
248,chuột,1,negative,"đóng gói cẩn thận, pin yếu hơn mô tả, sẽ ủng hộ tiếp",2025-06-27
249,sạc dự phòng,3,neutral,"dùng được, chưa thấy vấn đề, đáng tiền",2025-03-06
250,giày thể thao,4,positive,"nhẹ chân, đúng size, sẽ ủng hộ tiếp",2025-03-29
251,giày thể thao,1,negative,keo dán chưa chắc,2025-11-25
252,nồi chiên,2,negative,"nhiệt không đều như mong đợi, hơi tiếc",2026-04-01
253,giày thể thao,2,negative,"săn sale nên thấy keo dán chưa chắc, đáng tiền",2025-08-21
254,chuột,2,negative,"săn sale nên thấy kết nối chập chờn, dùng bực mình, hơi tiếc",2025-04-15
255,tai nghe,2,negative,"đóng gói cẩn thận, đeo hơi đau tai, hơi tiếc",2025-03-08
256,nồi chiên,4,positive,"săn sale nên thấy nướng nhanh, chín đều",2025-05-17
257,áo thun,4,positive,"săn sale nên thấy mặc thoải mái, đường may chắc",2025-08-03
258,bàn phím,3,neutral,"đóng gói cẩn thận, dùng văn phòng khá ổn, sẽ ủng hộ tiếp",2026-01-26
259,bàn phím,5,positive,"săn sale nên thấy switch phản hồi tốt, rất thích",2025-02-16
260,áo thun,1,negative,"đóng gói cẩn thận, chỉ thừa nhiều, hơi thất vọng",2025-01-26
261,tai nghe,5,positive,"mic thu âm rõ, gọi điện tốt",2025-08-09
262,bàn phím,3,neutral,"đúng mô tả nhưng giao hơi lâu, hơi tiếc",2025-01-27
263,sạc dự phòng,2,negative,săn sale nên thấy sạc vào rất chậm,2025-08-19
264,nồi chiên,1,negative,"săn sale nên thấy quạt hơi ồn, đáng tiền",2026-02-11
265,tai nghe,1,negative,âm bị rè khi mở lớn,2025-07-25
266,sạc dự phòng,4,positive,"đóng gói cẩn thận, dùng ổn định, rất hài lòng, hơi tiếc",2025-09-23
267,áo thun,4,positive,"đóng gói cẩn thận, màu đẹp như hình, sẽ ủng hộ tiếp",2025-07-21
268,sạc dự phòng,2,negative,máy hơi nóng khi sạc,2025-09-08
269,giày thể thao,1,negative,"đóng gói cẩn thận, đi hơi cứng chân",2025-08-02
270,sạc dự phòng,4,positive,"thiết kế đẹp, cầm chắc tay",2025-04-27
271,giày thể thao,5,positive,"nhẹ chân, đúng size, hơi tiếc",2025-03-17
272,nồi chiên,1,negative,"quạt hơi ồn, hơi tiếc",2025-06-10
273,áo thun,4,positive,"màu đẹp như hình, hơi tiếc",2026-03-23
274,nồi chiên,1,negative,"shop giao nhanh, nhiệt không đều như mong đợi",2025-06-16
275,giày thể thao,5,positive,"săn sale nên thấy đi êm chân, form đẹp",2025-06-25
276,sạc dự phòng,5,positive,"shop giao nhanh, sạc nhanh, pin đúng dung lượng, đáng tiền",2025-10-13
277,tai nghe,5,positive,"shop giao nhanh, mic thu âm rõ, gọi điện tốt, hơi tiếc",2025-06-12
278,áo thun,5,positive,"vải mềm, form đẹp",2025-07-14
279,áo thun,3,neutral,"đóng gói cẩn thận, mặc tạm ổn",2025-06-27
280,áo thun,1,negative,"size bị lệch, mặc không vừa, đáng tiền",2025-10-15
281,giày thể thao,4,positive,"đi êm chân, form đẹp",2025-04-26
282,giày thể thao,4,positive,"săn sale nên thấy đế bám tốt, chạy thích",2025-12-15
283,nồi chiên,4,positive,"săn sale nên thấy dung tích lớn, rất tiện, hơi tiếc",2025-11-30
284,bàn phím,3,neutral,đúng mô tả nhưng giao hơi lâu,2025-11-30
285,sạc dự phòng,4,positive,"shop giao nhanh, thiết kế đẹp, cầm chắc tay",2026-03-05
286,áo thun,3,neutral,"mặc tạm ổn, đáng tiền",2025-10-18
287,sạc dự phòng,5,positive,"thiết kế đẹp, cầm chắc tay",2025-09-10
288,bàn phím,3,neutral,"gõ ổn, chưa có gì nổi bật, đáng tiền",2025-03-25
289,giày thể thao,5,positive,"đóng gói cẩn thận, đi êm chân, form đẹp, đáng tiền",2025-10-18
