review_id,product_category,rating,sentiment_label,review_text,date,clean_comment
24,giày thể thao,2,negative,"shop giao nhanh, keo dán chưa chắc, sẽ ủng hộ tiếp",2025-02-02,cửa_hàng giao nhanh keo dán chưa chắc sẽ ủng_hộ tiếp
25,tai nghe,4,positive,"âm thanh rõ, bass tốt",2025-04-28,âm_thanh rõ bass tốt
26,chuột,3,neutral,"shop giao nhanh, đúng mô tả, hiệu năng bình thường, đáng tiền",2025-12-09,cửa_hàng giao nhanh đúng mô_tả hiệu_năng bình_thường đáng tiền
27,áo thun,4,positive,"săn sale nên thấy vải mềm, form đẹp, hơi tiếc",2025-04-08,săn sale nên thấy vải mềm form đẹp hơi tiếc
28,chuột,5,positive,"săn sale nên thấy kết nối ổn định, không bị lag, hơi tiếc",2026-03-19,săn sale nên thấy kết_nối ổn_định không bị lag hơi tiếc
29,giày thể thao,4,positive,"đóng gói cẩn thận, đế bám tốt, chạy thích",2025-05-08,đóng_gói cẩn_thận đế bám tốt chạy thích
30,bàn phím,5,positive,"shop giao nhanh, switch phản hồi tốt, rất thích, đáng tiền",2025-08-25,cửa_hàng giao nhanh switch phản_hồi tốt rất thích_đáng tiền
31,bàn phím,3,neutral,dùng văn phòng khá ổn,2025-11-30,dùng văn_phòng khá ổn
32,sạc dự phòng,3,neutral,"săn sale nên thấy dùng được, chưa thấy vấn đề, hơi tiếc",2025-09-04,săn sale nên thấy dùng được chưa thấy vấn_đề hơi tiếc
33,bàn phím,3,neutral,"đúng mô tả nhưng giao hơi lâu, hơi tiếc",2025-05-16,đúng mô_tả nhưng giao_hơi lâu_hơi tiếc
34,nồi chiên,3,neutral,"đúng mô tả, mức trung bình, hơi tiếc",2025-03-21,đúng mô_tả mức trung_bình hơi tiếc
35,bàn phím,4,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2025-01-26,đóng_gói cẩn_thận keycap chắc_chắn build ngon
36,sạc dự phòng,4,positive,"dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2025-02-05,dùng ổn_định rất hài_lòng sẽ ủng_hộ tiếp
37,sạc dự phòng,4,positive,"sạc nhanh, pin đúng dung lượng, sẽ ủng hộ tiếp",2025-10-24,sạc nhanh pin đúng dung_lượng sẽ ủng_hộ tiếp
38,sạc dự phòng,4,positive,"dùng ổn định, rất hài lòng",2025-09-25,dùng ổn_định rất hài_lòng
39,tai nghe,3,neutral,"đóng gói cẩn thận, âm thanh ở mức chấp nhận được, hơi tiếc",2025-03-09,đóng_gói cẩn_thận âm_thanh ở mức chấp_nhận được hơi tiếc
40,giày thể thao,2,negative,"keo dán chưa chắc, hơi tiếc",2025-11-15,keo dán chưa chắc hơi tiếc
41,sạc dự phòng,3,neutral,"đóng gói cẩn thận, đúng mô tả nhưng chưa nổi bật, sẽ ủng hộ tiếp",2025-06-28,đóng_gói cẩn_thận đúng mô_tả nhưng chưa nổi_bật sẽ ủng_hộ tiếp
42,chuột,3,neutral,săn sale nên thấy dùng tạm ổn trong tầm giá,2025-12-27,săn sale nên thấy dùng tạm ổn trong tầm giá
43,tai nghe,2,negative,"đeo hơi đau tai, sẽ ủng hộ tiếp",2025-05-16,đeo hơi đau_tai sẽ ủng_hộ tiếp
44,chuột,3,neutral,"chưa dùng lâu nên chưa đánh giá thêm, sẽ ủng hộ tiếp",2026-01-03,chưa dùng lâu nên chưa đánh_giá thêm sẽ ủng_hộ tiếp
45,tai nghe,5,positive,đeo êm tai lâu không đau,2025-11-21,đeo êm_tai lâu không đau
46,áo thun,3,neutral,"shop giao nhanh, đúng mô tả, chất vải bình thường, đáng tiền",2025-03-24,cửa_hàng giao nhanh đúng mô_tả chất vải bình_thường đáng tiền
47,giày thể thao,5,positive,"đi êm chân, form đẹp, sẽ ủng hộ tiếp",2025-10-07,đi êm_chân form đẹp sẽ ủng_hộ tiếp
48,chuột,3,neutral,"dùng tạm ổn trong tầm giá, đáng tiền",2025-07-06,dùng tạm ổn trong tầm_giá đáng tiền
49,nồi chiên,3,neutral,"shop giao nhanh, dùng ổn, cần test thêm",2025-07-01,cửa_hàng giao nhanh dùng ổn cần test thêm
50,nồi chiên,1,negative,"shop giao nhanh, quạt hơi ồn, sẽ ủng hộ tiếp",2026-03-28,cửa_hàng giao nhanh quạt_hơi ồn sẽ ủng_hộ tiếp
51,áo thun,5,positive,"shop giao nhanh, màu đẹp như hình, đáng tiền",2025-03-23,cửa_hàng giao nhanh màu đẹp như hình_đáng tiền
52,nồi chiên,1,negative,"shop giao nhanh, vỏ có vết xước, sẽ ủng hộ tiếp",2026-02-23,cửa_hàng giao nhanh vỏ có vết xước sẽ ủng_hộ tiếp
53,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2025-06-18,cửa_hàng giao nhanh vải mềm form đẹp hơi tiếc
54,tai nghe,3,neutral,"chưa test lâu nên chưa rõ độ bền, hơi tiếc",2025-12-14,chưa test lâu nên chưa rõ độ bền_hơi tiếc
55,nồi chiên,1,negative,"shop giao nhanh, vỏ có vết xước",2025-05-16,cửa_hàng giao nhanh vỏ có vết xước
56,chuột,5,positive,"săn sale nên thấy cầm vừa tay, phản hồi tốt",2025-09-19,săn sale nên thấy cầm vừa tay phản_hồi tốt
57,chuột,4,positive,"săn sale nên thấy di chuột mượt, click nhạy, rất đáng tiền",2025-09-24,săn sale nên thấy di_chuột mượt click_nhạy rất đáng tiền
58,nồi chiên,2,negative,"vỏ có vết xước, đáng tiền",2025-11-16,vỏ có vết xước đáng tiền
59,tai nghe,2,negative,"đóng gói cẩn thận, đeo hơi đau tai, hơi tiếc",2025-06-17,đóng_gói cẩn_thận đeo hơi đau tai_hơi tiếc
60,áo thun,1,negative,"săn sale nên thấy vải mỏng hơn mong đợi, sẽ ủng hộ tiếp",2025-11-12,săn sale nên thấy vải mỏng hơn mong_đợi sẽ ủng_hộ tiếp
61,sạc dự phòng,4,positive,"shop giao nhanh, thiết kế đẹp, cầm chắc tay, hơi tiếc",2026-02-07,cửa_hàng giao nhanh thiết_kế đẹp cầm_chắc tay hơi tiếc
62,sạc dự phòng,2,negative,"săn sale nên thấy dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-19,săn sale nên thấy dung_lượng không như quảng_cáo sẽ ủng_hộ tiếp
63,áo thun,3,neutral,"đúng mô tả, chất vải bình thường",2025-06-21,đúng mô_tả chất vải bình_thường
64,chuột,3,neutral,"shop giao nhanh, dùng tạm ổn trong tầm giá, sẽ ủng hộ tiếp",2025-01-13,cửa_hàng giao nhanh dùng tạm ổn trong tầm_giá sẽ ủng_hộ tiếp
65,chuột,5,positive,"săn sale nên thấy kết nối ổn định, không bị lag",2025-04-10,săn sale nên thấy kết_nối ổn_định không bị lag
66,giày thể thao,2,negative,"shop giao nhanh, keo dán chưa chắc",2026-04-03,cửa_hàng giao nhanh keo dán chưa chắc
67,nồi chiên,3,neutral,"shop giao nhanh, dùng ổn, cần test thêm",2025-08-26,cửa_hàng giao nhanh dùng ổn cần test thêm
68,chuột,2,negative,săn sale nên thấy pin yếu hơn mô tả,2025-10-14,săn sale nên thấy pin_yếu hơn mô_tả
69,sạc dự phòng,5,positive,"săn sale nên thấy dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2026-01-16,săn sale nên thấy dùng ổn_định rất hài_lòng sẽ ủng_hộ tiếp
70,nồi chiên,5,positive,"đóng gói cẩn thận, dung tích lớn, rất tiện",2025-09-06,đóng_gói cẩn_thận dung_tích lớn rất tiện
71,giày thể thao,5,positive,"đóng gói cẩn thận, nhẹ chân, đúng size, sẽ ủng hộ tiếp",2025-05-20,đóng_gói cẩn_thận nhẹ chân đúng size sẽ ủng_hộ tiếp
72,tai nghe,4,positive,"shop giao nhanh, âm thanh rõ, bass tốt, hơi tiếc",2025-12-22,cửa_hàng giao nhanh âm_thanh rõ bass tốt hơi tiếc
73,bàn phím,2,negative,"đóng gói cẩn thận, led không đều màu",2025-08-27,đóng_gói cẩn_thận led không đều màu
74,áo thun,5,positive,màu đẹp như hình,2025-07-14,màu đẹp như hình
75,áo thun,5,positive,"săn sale nên thấy mặc thoải mái, đường may chắc",2026-01-18,săn sale nên thấy mặc thoải_mái đường may chắc
76,giày thể thao,2,negative,"đóng gói cẩn thận, keo dán chưa chắc, hơi tiếc",2025-09-06,đóng_gói cẩn_thận keo dán chưa chắc hơi tiếc
77,chuột,5,positive,"shop giao nhanh, kết nối ổn định, không bị lag",2025-10-01,cửa_hàng giao nhanh kết_nối ổn_định không bị lag
78,chuột,3,neutral,"săn sale nên thấy đúng mô tả, hiệu năng bình thường, sẽ ủng hộ tiếp",2026-03-20,săn sale nên thấy đúng mô_tả hiệu_năng bình_thường sẽ ủng_hộ tiếp
79,áo thun,5,positive,"shop giao nhanh, mặc thoải mái, đường may chắc, hơi tiếc",2025-06-17,cửa_hàng giao nhanh mặc thoải_mái đường may chắc hơi tiếc
80,tai nghe,3,neutral,"đóng gói cẩn thận, nghe ổn trong tầm giá",2025-08-29,đóng_gói cẩn_thận nghe ổn trong tầm giá
81,chuột,2,negative,pin yếu hơn mô tả,2026-01-22,pin yếu hơn mô_tả
82,chuột,3,neutral,"shop giao nhanh, đúng mô tả, hiệu năng bình thường, sẽ ủng hộ tiếp",2025-03-06,cửa_hàng giao nhanh đúng mô_tả hiệu_năng bình_thường sẽ ủng_hộ tiếp
83,áo thun,2,negative,"đóng gói cẩn thận, chỉ thừa nhiều, hơi thất vọng, đáng tiền",2025-03-27,đóng_gói cẩn_thận chỉ thừa nhiều hơi thất_vọng đáng tiền
84,sạc dự phòng,1,negative,dung lượng không như quảng cáo,2025-01-14,dung_lượng không như quảng_cáo
85,tai nghe,2,negative,"shop giao nhanh, đeo hơi đau tai",2025-10-31,cửa_hàng giao nhanh đeo hơi đau tai
86,giày thể thao,3,neutral,"đóng gói cẩn thận, chất lượng bình thường",2026-02-17,đóng_gói cẩn_thận chất_lượng bình_thường
87,chuột,3,neutral,"săn sale nên thấy đúng mô tả, hiệu năng bình thường, đáng tiền",2025-02-05,săn sale nên thấy đúng mô_tả hiệu_năng bình_thường đáng tiền
88,sạc dự phòng,2,negative,"dung lượng không như quảng cáo, hơi tiếc",2025-07-05,dung_lượng không như quảng_cáo hơi tiếc
89,giày thể thao,3,neutral,"shop giao nhanh, mẫu đẹp nhưng chưa thử chạy lâu",2025-11-30,cửa_hàng giao nhanh mẫu đẹp nhưng chưa thử chạy lâu
90,tai nghe,2,negative,"pin tụt nhanh, đáng tiền",2025-06-15,pin tụt nhanh đáng tiền
91,nồi chiên,4,positive,"shop giao nhanh, máy chạy êm, dễ vệ sinh, hơi tiếc",2025-10-19,cửa_hàng giao nhanh máy chạy êm_dễ vệ_sinh hơi tiếc
92,sạc dự phòng,1,negative,"đóng gói cẩn thận, dung lượng không như quảng cáo, sẽ ủng hộ tiếp",2025-09-07,đóng_gói cẩn_thận dung_lượng không như quảng_cáo sẽ ủng_hộ tiếp
93,bàn phím,5,positive,"switch phản hồi tốt, rất thích, đáng tiền",2025-10-12,switch phản_hồi tốt rất thích_đáng tiền
94,chuột,1,negative,"săn sale nên thấy pin yếu hơn mô tả, hơi tiếc",2025-10-12,săn sale nên thấy pin_yếu hơn mô_tả hơi tiếc
95,nồi chiên,5,positive,"máy chạy êm, dễ vệ sinh",2025-05-31,máy chạy êm_dễ vệ_sinh
96,bàn phím,4,positive,"keycap chắc chắn, build ngon, đáng tiền",2025-08-31,keycap chắc_chắn build ngon_đáng tiền
97,sạc dự phòng,2,negative,"săn sale nên thấy dung lượng không như quảng cáo, đáng tiền",2025-06-06,săn sale nên thấy dung_lượng không như quảng_cáo đáng tiền
98,tai nghe,4,positive,"âm thanh rõ, bass tốt, sẽ ủng hộ tiếp",2025-04-09,âm_thanh rõ bass tốt sẽ ủng_hộ tiếp
99,bàn phím,2,negative,"shop giao nhanh, một vài phím bị liệt, đáng tiền",2025-04-27,cửa_hàng giao nhanh một_vài phím bị liệt đáng tiền
100,tai nghe,4,positive,đeo êm tai lâu không đau,2025-10-11,đeo êm_tai lâu không đau
101,tai nghe,2,negative,âm bị rè khi mở lớn,2025-05-26,âm bị rè khi mở lớn
102,áo thun,5,positive,"đóng gói cẩn thận, vải mềm, form đẹp, hơi tiếc",2025-02-28,đóng_gói cẩn_thận vải mềm form đẹp hơi tiếc
103,nồi chiên,5,positive,"dung tích lớn, rất tiện, sẽ ủng hộ tiếp",2025-03-18,dung_tích lớn rất tiện sẽ ủng_hộ tiếp
104,nồi chiên,1,negative,quạt hơi ồn,2026-01-27,quạt hơi ồn
105,áo thun,2,negative,"săn sale nên thấy vải mỏng hơn mong đợi, đáng tiền",2026-03-17,săn sale nên thấy vải mỏng hơn mong_đợi đáng tiền
106,sạc dự phòng,3,neutral,"đúng mô tả nhưng chưa nổi bật, sẽ ủng hộ tiếp",2025-11-17,đúng mô_tả nhưng chưa nổi_bật sẽ ủng_hộ tiếp
107,bàn phím,4,positive,"shop giao nhanh, gõ êm tay, led đẹp",2025-02-08,cửa_hàng giao nhanh gõ êm_tay led đẹp
108,bàn phím,5,positive,"switch phản hồi tốt, rất thích, sẽ ủng hộ tiếp",2025-05-28,switch phản_hồi tốt rất thích sẽ ủng_hộ tiếp
109,giày thể thao,5,positive,"shop giao nhanh, nhẹ chân, đúng size, đáng tiền",2026-02-08,cửa_hàng giao nhanh nhẹ chân đúng size đáng tiền
110,nồi chiên,2,negative,"quạt hơi ồn, sẽ ủng hộ tiếp",2025-11-28,quạt hơi ồn sẽ ủng_hộ tiếp
111,bàn phím,3,neutral,"shop giao nhanh, gõ ổn, chưa có gì nổi bật, đáng tiền",2025-11-01,cửa_hàng giao nhanh gõ ổn chưa có gì nổi_bật đáng tiền
112,giày thể thao,3,neutral,"săn sale nên thấy đi ổn, đúng giá tiền, đáng tiền",2025-12-25,săn sale nên thấy đi ổn đúng giá tiền đáng tiền
113,áo thun,3,neutral,mặc tạm ổn,2026-04-01,mặc tạm ổn
114,áo thun,1,negative,"shop giao nhanh, size bị lệch, mặc không vừa",2025-10-28,cửa_hàng giao nhanh size bị lệch mặc không vừa
115,chuột,3,neutral,săn sale nên thấy dùng tạm ổn trong tầm giá,2025-11-30,săn sale nên thấy dùng tạm ổn trong tầm giá
116,áo thun,3,neutral,săn sale nên thấy không quá xuất sắc nhưng chấp nhận được,2025-08-29,săn sale nên thấy không quá xuất_sắc nhưng chấp_nhận được
117,tai nghe,5,positive,"đóng gói cẩn thận, âm thanh rõ, bass tốt, hơi tiếc",2025-12-22,đóng_gói cẩn_thận âm_thanh rõ bass tốt hơi tiếc
118,áo thun,5,positive,"mặc thoải mái, đường may chắc, đáng tiền",2025-05-10,mặc thoải_mái đường may chắc đáng tiền
119,tai nghe,5,positive,"mic thu âm rõ, gọi điện tốt, hơi tiếc",2025-07-31,mic thu_âm rõ gọi điện tốt hơi tiếc
120,chuột,5,positive,"kết nối ổn định, không bị lag, sẽ ủng hộ tiếp",2025-05-17,kết_nối ổn_định không bị lag sẽ ủng_hộ tiếp
121,sạc dự phòng,5,positive,"săn sale nên thấy dùng ổn định, rất hài lòng",2025-01-15,săn sale nên thấy dùng ổn_định rất hài_lòng
122,giày thể thao,1,negative,đi hơi cứng chân,2025-10-10,đi hơi cứng chân
123,áo thun,4,positive,"shop giao nhanh, vải mềm, form đẹp, hơi tiếc",2026-01-02,cửa_hàng giao nhanh vải mềm form đẹp hơi tiếc
124,tai nghe,2,negative,"săn sale nên thấy pin tụt nhanh, sẽ ủng hộ tiếp",2025-08-22,săn sale nên thấy pin tụt nhanh sẽ ủng_hộ tiếp
125,sạc dự phòng,4,positive,"đóng gói cẩn thận, sạc nhanh, pin đúng dung lượng, hơi tiếc",2025-06-24,đóng_gói cẩn_thận sạc nhanh pin đúng dung_lượng hơi tiếc
126,nồi chiên,2,negative,"đóng gói cẩn thận, nhiệt không đều như mong đợi",2025-10-24,đóng_gói cẩn_thận nhiệt không đều như mong_đợi
127,giày thể thao,4,positive,"săn sale nên thấy nhẹ chân, đúng size, đáng tiền",2025-06-20,săn sale nên thấy nhẹ chân đúng size đáng tiền
128,sạc dự phòng,3,neutral,"shop giao nhanh, sạc ở mức bình thường, sẽ ủng hộ tiếp",2025-10-20,cửa_hàng giao nhanh sạc ở mức bình_thường sẽ ủng_hộ tiếp
129,áo thun,5,positive,"săn sale nên thấy mặc thoải mái, đường may chắc, hơi tiếc",2025-07-17,săn sale nên thấy mặc thoải_mái đường may chắc hơi tiếc
130,giày thể thao,3,neutral,"shop giao nhanh, đi ổn, đúng giá tiền",2025-10-30,cửa_hàng giao nhanh đi ổn đúng giá tiền
131,tai nghe,3,neutral,săn sale nên thấy chưa test lâu nên chưa rõ độ bền,2026-01-05,săn sale nên thấy chưa test lâu nên chưa rõ độ bền
132,bàn phím,4,positive,"đóng gói cẩn thận, switch phản hồi tốt, rất thích, đáng tiền",2025-11-16,đóng_gói cẩn_thận switch phản_hồi tốt rất thích_đáng tiền
133,giày thể thao,4,positive,"nhẹ chân, đúng size, hơi tiếc",2025-06-12,nhẹ chân đúng size hơi tiếc
134,giày thể thao,1,negative,"size không chuẩn, sẽ ủng hộ tiếp",2025-11-20,size không chuẩn sẽ ủng_hộ tiếp
135,giày thể thao,3,neutral,mẫu đẹp nhưng chưa thử chạy lâu,2025-08-16,mẫu đẹp nhưng chưa thử chạy lâu
136,bàn phím,1,negative,"led không đều màu, đáng tiền",2025-07-03,led không đều màu đáng tiền
137,tai nghe,4,positive,"shop giao nhanh, mic thu âm rõ, gọi điện tốt, sẽ ủng hộ tiếp",2025-03-31,cửa_hàng giao nhanh mic thu_âm rõ gọi điện tốt sẽ ủng_hộ tiếp
138,chuột,1,negative,"kết nối chập chờn, dùng bực mình, sẽ ủng hộ tiếp",2025-04-29,kết_nối chập_chờn dùng bực_mình sẽ ủng_hộ tiếp
139,áo thun,2,negative,"chỉ thừa nhiều, hơi thất vọng, hơi tiếc",2025-05-28,chỉ thừa nhiều hơi thất_vọng hơi tiếc
140,giày thể thao,2,negative,"đi hơi cứng chân, đáng tiền",2025-11-24,đi hơi cứng_chân đáng tiền
141,áo thun,2,negative,"săn sale nên thấy size bị lệch, mặc không vừa, hơi tiếc",2025-02-24,săn sale nên thấy size bị lệch mặc không vừa hơi tiếc
142,bàn phím,5,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2026-03-01,đóng_gói cẩn_thận keycap chắc_chắn build ngon
143,giày thể thao,4,positive,"săn sale nên thấy nhẹ chân, đúng size, đáng tiền",2026-02-02,săn sale nên thấy nhẹ chân đúng size đáng tiền
144,nồi chiên,5,positive,"shop giao nhanh, dung tích lớn, rất tiện",2025-05-09,cửa_hàng giao nhanh dung_tích lớn rất tiện
145,giày thể thao,3,neutral,"chất lượng bình thường, đáng tiền",2026-02-08,chất_lượng bình_thường đáng tiền
146,áo thun,5,positive,"đóng gói cẩn thận, vải mềm, form đẹp, đáng tiền",2026-01-18,đóng_gói cẩn_thận vải mềm form_đẹp đáng tiền
147,áo thun,4,positive,"màu đẹp như hình, đáng tiền",2026-03-02,màu đẹp như hình_đáng tiền
148,bàn phím,5,positive,"đóng gói cẩn thận, keycap chắc chắn, build ngon",2025-08-28,đóng_gói cẩn_thận keycap chắc_chắn build ngon
149,chuột,4,positive,"cầm vừa tay, phản hồi tốt, hơi tiếc",2025-01-08,cầm vừa tay phản_hồi tốt hơi tiếc
150,tai nghe,2,negative,"đóng gói cẩn thận, đeo hơi đau tai",2025-07-15,đóng_gói cẩn_thận đeo hơi đau tai
151,nồi chiên,1,negative,"shop giao nhanh, nhiệt không đều như mong đợi, hơi tiếc",2025-01-13,cửa_hàng giao nhanh_nhiệt không đều như mong_đợi hơi tiếc
152,sạc dự phòng,3,neutral,"đúng mô tả nhưng chưa nổi bật, hơi tiếc",2025-12-25,đúng mô_tả nhưng chưa nổi_bật hơi tiếc
153,tai nghe,1,negative,"âm bị rè khi mở lớn, đáng tiền",2025-09-10,âm bị rè khi mở lớn đáng tiền
154,chuột,4,positive,"đóng gói cẩn thận, kết nối ổn định, không bị lag",2025-08-03,đóng_gói cẩn_thận kết_nối ổn_định không bị lag
155,sạc dự phòng,2,negative,"máy hơi nóng khi sạc, hơi tiếc",2025-11-12,máy hơi nóng khi sạc hơi tiếc
156,áo thun,3,neutral,"đóng gói cẩn thận, không quá xuất sắc nhưng chấp nhận được, sẽ ủng hộ tiếp",2025-08-16,đóng_gói cẩn_thận không quá xuất_sắc nhưng chấp_nhận được sẽ ủng_hộ tiếp
157,áo thun,3,neutral,"đóng gói cẩn thận, không quá xuất sắc nhưng chấp nhận được",2025-11-27,đóng_gói cẩn_thận không quá xuất_sắc nhưng chấp_nhận được
158,tai nghe,5,positive,"săn sale nên thấy âm thanh rõ, bass tốt",2025-12-06,săn sale nên thấy âm_thanh rõ bass tốt
159,bàn phím,1,negative,"shop giao nhanh, led không đều màu, sẽ ủng hộ tiếp",2026-02-07,cửa_hàng giao nhanh led không đều màu sẽ ủng_hộ tiếp
160,sạc dự phòng,4,positive,"đóng gói cẩn thận, sạc nhanh, pin đúng dung lượng, sẽ ủng hộ tiếp",2026-02-08,đóng_gói cẩn_thận sạc nhanh pin đúng dung_lượng sẽ ủng_hộ tiếp
161,sạc dự phòng,4,positive,"đóng gói cẩn thận, dùng ổn định, rất hài lòng, sẽ ủng hộ tiếp",2025-02-26,đóng_gói cẩn_thận dùng ổn_định rất hài_lòng sẽ ủng_hộ tiếp
162,giày thể thao,3,neutral,"shop giao nhanh, mẫu đẹp nhưng chưa thử chạy lâu",2025-06-15,cửa_hàng giao nhanh mẫu đẹp nhưng chưa thử chạy lâu
163,chuột,4,positive,"kết nối ổn định, không bị lag",2026-01-17,kết_nối ổn_định không bị lag
164,chuột,5,positive,"kết nối ổn định, không bị lag, sẽ ủng hộ tiếp",2025-11-11,kết_nối ổn_định không bị lag sẽ ủng_hộ tiếp
165,chuột,2,negative,"double click sau vài ngày, khá khó chịu, hơi tiếc",2026-03-10,double click sau vài ngày khá khó_chịu hơi tiếc
166,áo thun,4,positive,săn sale nên thấy màu đẹp như hình,2026-04-06,săn sale nên thấy màu đẹp như hình
167,chuột,4,positive,"đóng gói cẩn thận, pin trâu, dùng mượt cả ngày",2025-11-21,đóng_gói cẩn_thận pin trâu dùng mượt cả ngày
168,sạc dự phòng,2,negative,"máy hơi nóng khi sạc, đáng tiền",2025-08-21,máy hơi nóng khi sạc đáng tiền
169,sạc dự phòng,1,negative,"máy hơi nóng khi sạc, sẽ ủng hộ tiếp",2025-08-09,máy hơi nóng khi sạc sẽ ủng_hộ tiếp
170,áo thun,3,neutral,"săn sale nên thấy đúng mô tả, chất vải bình thường, hơi tiếc",2026-01-09,săn sale nên thấy đúng mô_tả chất vải bình_thường hơi tiếc
171,chuột,5,positive,"shop giao nhanh, cầm vừa tay, phản hồi tốt, hơi tiếc",2025-02-04,cửa_hàng giao nhanh cầm vừa tay phản_hồi tốt hơi tiếc
172,chuột,3,neutral,"đóng gói cẩn thận, dùng tạm ổn trong tầm giá, sẽ ủng hộ tiếp",2025-10-12,đóng_gói cẩn_thận dùng tạm ổn trong tầm_giá sẽ ủng_hộ tiếp
173,chuột,1,negative,"đóng gói cẩn thận, kết nối chập chờn, dùng bực mình, hơi tiếc",2026-03-21,đóng_gói cẩn_thận kết_nối chập_chờn dùng bực_mình hơi tiếc
174,giày thể thao,5,positive,"đế bám tốt, chạy thích",2025-09-17,đế bám tốt chạy thích
175,bàn phím,5,positive,"đóng gói cẩn thận, gõ êm tay, led đẹp",2025-07-08,đóng_gói cẩn_thận gõ êm_tay led đẹp
176,chuột,3,neutral,"đúng mô tả, hiệu năng bình thường",2025-12-12,đúng mô_tả hiệu_năng bình_thường
177,giày thể thao,1,negative,"đóng gói cẩn thận, keo dán chưa chắc, đáng tiền",2025-06-23,đóng_gói cẩn_thận keo dán chưa chắc đáng tiền
178,tai nghe,4,positive,"shop giao nhanh, âm thanh rõ, bass tốt",2025-02-16,cửa_hàng giao nhanh âm_thanh rõ bass tốt
